name,type,L,s,apx,apy,subsystem,dtype,system,inst,device,desc
LS1_CB11:SOL1_D1872,SOLCOR,0.5,187.2404485,0.04,0.04,CB11,SOL_S2,LS1,D1872,SOL1,solenoid+correctors
LS1_CB11:DCH_D1872,HCOR,0.0,187.2404485,0.04,0.04,CB11,S2,LS1,D1872,DCH,horiz. corrector magnet
LS1_CB11:DCV_D1872,VCOR,0.0,187.2404485,0.04,0.04,CB11,S2,LS1,D1872,DCV,vert. corrector magnet
DRIFT,DRIFT,0.076136,187.5285165,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0986025,187.6154285,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:CAV2_D1878,CAV,0.3,187.815187,0.034,0.034,CB11,CAV_B08,LS1,D1878,CAV2,b08 resonator
DRIFT,DRIFT,0.097688,188.014031,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:CAV3_D1882,CAV,0.3,188.212875,0.034,0.034,CB11,CAV_B08,LS1,D1882,CAV3,b08 resonator
DRIFT,DRIFT,0.097688,188.411719,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:CAV4_D1886,CAV,0.3,188.610563,0.034,0.034,CB11,CAV_B08,LS1,D1886,CAV4,b08 resonator
LS1_CB11:BLM_D1888,BLM,0.0,188.7596485,0.034,0.034,CB11,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.09559534,188.80881792,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:BPM_D1889,BPM,0.0,188.85615834,0.04,0.04,CB11,BPM6,LS1,D1889,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,188.88409834,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.076136,188.95010634,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CB11:SOL2_D1892,SOLCOR,0.5,189.23817434,0.04,0.04,CB11,SOL_S2,LS1,D1892,SOL2,solenoid+correctors
LS1_CB11:DCH_D1892,HCOR,0.0,189.23817434,0.04,0.04,CB11,S2,LS1,D1892,DCH,horiz. corrector magnet
LS1_CB11:DCV_D1892,VCOR,0.0,189.23817434,0.04,0.04,CB11,S2,LS1,D1892,DCV,vert. corrector magnet
DRIFT,DRIFT,0.076136,189.52624234,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
DRIFT,DRIFT,0.0986025,189.61315434,0.04,0.04,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:CAV5_D1898,CAV,0.3,189.81291284,0.034,0.034,CB11,CAV_B08,LS1,D1898,CAV5,b08 resonator
DRIFT,DRIFT,0.097688,190.01175684,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:CAV6_D1902,CAV,0.3,190.21060084,0.034,0.034,CB11,CAV_B08,LS1,D1902,CAV6,b08 resonator
DRIFT,DRIFT,0.097688,190.40944484,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:CAV7_D1906,CAV,0.3,190.60828884,0.034,0.034,CB11,CAV_B08,LS1,D1906,CAV7,b08 resonator
LS1_CB11:BLM_D1908,BLM,0.0,190.75737434,0.034,0.034,CB11,NONE,LS1,NONE,BLM,outside loss monitor
DRIFT,DRIFT,0.09559534,190.80654376,0.034,0.034,NONE,NONE,NONE,NONE,NONE,bellow
LS1_CB11:BPM_D1909,BPM,0.0,190.85388418,0.04,0.04,CB11,BPM6,LS1,D1909,BPM,"position monitor, BPMc"
DRIFT,DRIFT,0.05588,190.88182418,0.04,0.04,NONE,NONE,NONE,NONE,NONE,BPM-box
DRIFT,DRIFT,0.076136,190.94783218,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-entry
LS1_CB11:SOL3_D1912,SOLCOR,0.5,191.23590018,0.04,0.04,CB11,SOL_S2,LS1,D1912,SOL3,solenoid+correctors
LS1_CB11:DCH_D1912,HCOR,0.0,191.23590018,0.04,0.04,CB11,S2,LS1,D1912,DCH,horiz. corrector magnet
LS1_CB11:DCV_D1912,VCOR,0.0,191.23590018,0.04,0.04,CB11,S2,LS1,D1912,DCV,vert. corrector magnet
DRIFT,DRIFT,0.076136,191.52396818,0.04,0.04,NONE,NONE,NONE,NONE,NONE,solenoid-exit
